Date,Open,High,Low,Close,Adj Close,Volume
2018-06-07,162.330002,162.330002,158.729996,159.419998,159.419998,43
2018-06-08,157.809998,160.669998,157.210007,160.669998,160.669998,345
2018-06-11,159.289993,163.059998,159.289993,163.059998,163.059998,55
2018-06-12,162.419998,163.350006,162.270004,163.350006,163.350006,0
2018-06-13,163.619995,164.589996,163.029999,163.949997,163.949997,0
2018-06-14,163.020004,168.479996,162.020004,168.479996,168.479996,0
2018-06-15,169.619995,169.710007,168.429993,169.050003,169.050003,0
2018-06-18,168.160004,171.289993,167.550003,171.070007,171.070007,110
2018-06-19,168.309998,169.910004,167.809998,169.149994,169.149994,0
2018-06-20,171.020004,175.240005,170.720001,175.240005,175.240005,95
2018-06-21,175.000000,175.440002,172.750000,174.139999,174.139999,7
2018-06-22,173.029999,173.500000,171.520004,172.080002,172.080002,51
2018-06-25,172.800003,172.800003,165.000000,165.000000,165.000000,464
2018-06-26,168.199997,169.619995,168.199997,169.490005,169.490005,191
2018-06-27,170.460007,172.210007,168.770004,172.210007,172.210007,240
2018-06-28,169.649994,170.429993,167.800003,167.800003,167.800003,5
2018-06-29,168.630005,170.550003,167.639999,167.639999,167.639999,5
2018-07-02,165.740005,168.000000,165.029999,167.660004,167.660004,28
2018-07-03,167.940002,168.570007,165.759995,165.899994,165.899994,66
2018-07-04,165.820007,165.820007,165.029999,165.029999,165.029999,2
2018-07-05,165.020004,168.009995,165.020004,168.009995,168.009995,140
2018-07-06,169.029999,172.070007,168.509995,172.070007,172.070007,25
2018-07-09,173.339996,174.000000,172.789993,173.210007,173.210007,27
2018-07-10,174.960007,175.279999,173.750000,173.750000,173.750000,2
2018-07-11,171.360001,173.660004,171.360001,173.250000,173.250000,0
2018-07-12,173.630005,176.320007,173.630005,176.320007,176.320007,75
2018-07-13,177.539993,178.509995,177.539993,177.860001,177.860001,528
2018-07-16,176.850006,177.850006,176.850006,177.850006,177.850006,0
2018-07-17,175.169998,179.309998,174.500000,179.309998,179.309998,0
2018-07-18,180.320007,180.619995,179.710007,179.710007,179.710007,62
2018-07-19,179.740005,180.190002,179.490005,179.619995,179.619995,0
2018-07-20,178.029999,180.529999,178.029999,179.330002,179.330002,103
2018-07-23,178.869995,180.529999,178.429993,180.529999,180.529999,7
2018-07-24,183.100006,184.639999,183.100006,183.309998,183.309998,78
2018-07-25,183.100006,186.710007,183.100006,186.710007,186.710007,65
2018-07-26,146.100006,161.100006,146.100006,151.229996,151.229996,3582
2018-07-27,153.000000,155.500000,149.139999,149.139999,149.139999,1658
2018-07-30,150.789993,150.789993,143.149994,143.820007,143.820007,1034
2018-07-31,146.500000,148.350006,145.500000,148.350006,148.350006,300
2018-08-01,148.889999,150.500000,147.750000,147.750000,147.750000,1078
2018-08-02,146.869995,150.339996,146.429993,150.339996,150.339996,46
2018-08-03,152.389999,153.889999,152.309998,152.309998,152.309998,462
2018-08-06,154.690002,159.500000,154.179993,159.440002,159.440002,1125
2018-08-07,161.300003,161.440002,159.350006,159.350006,159.350006,420
2018-08-08,158.809998,160.380005,158.460007,160.220001,160.220001,143
2018-08-09,159.250000,160.339996,159.119995,159.119995,159.119995,0
2018-08-10,159.080002,159.360001,157.779999,159.000000,159.000000,34
2018-08-13,158.690002,159.270004,157.050003,158.679993,158.679993,85
2018-08-14,158.110001,160.300003,157.660004,160.300003,160.300003,62
2018-08-15,159.199997,159.300003,155.669998,156.350006,156.350006,1427
2018-08-16,156.350006,159.139999,156.179993,156.179993,156.179993,0
2018-08-17,153.009995,153.800003,151.300003,151.380005,151.380005,153
2018-08-20,151.990005,153.220001,150.169998,150.580002,150.580002,61
2018-08-21,150.009995,150.800003,149.830002,149.830002,149.830002,53
2018-08-22,148.990005,148.990005,147.970001,148.770004,148.770004,27
2018-08-23,149.610001,151.229996,149.610001,150.949997,150.949997,19
2018-08-24,149.380005,149.860001,149.360001,149.360001,149.360001,80
2018-08-27,151.100006,151.929993,150.880005,151.929993,151.929993,109
2018-08-28,152.240005,152.399994,150.979996,150.979996,150.979996,0
2018-08-29,151.059998,151.449997,150.000000,150.000000,150.000000,0
2018-08-30,150.039993,153.899994,149.809998,153.410004,153.410004,29
2018-08-31,152.509995,152.509995,151.139999,151.470001,151.470001,3
2018-09-03,150.559998,151.600006,150.509995,151.179993,151.179993,463
2018-09-04,151.009995,152.100006,147.369995,147.869995,147.869995,59
2018-09-05,148.080002,148.080002,144.740005,144.740005,144.740005,147
2018-09-06,143.770004,144.160004,139.440002,139.440002,139.440002,197
2018-09-07,138.750000,141.929993,138.550003,139.559998,139.559998,15
2018-09-10,141.589996,141.789993,140.699997,141.350006,141.350006,68
2018-09-11,140.800003,143.979996,140.800003,143.979996,143.979996,0
2018-09-12,143.039993,143.639999,139.929993,139.929993,139.929993,25
2018-09-13,139.169998,140.110001,138.130005,138.229996,138.229996,49
2018-09-14,137.309998,139.100006,137.309998,138.630005,138.630005,35
2018-09-17,139.399994,139.399994,137.029999,137.309998,137.309998,50
2018-09-18,135.990005,137.740005,135.850006,137.440002,137.440002,10
2018-09-19,136.289993,137.899994,136.289993,137.789993,137.789993,31
2018-09-20,139.410004,140.869995,138.820007,140.649994,140.649994,0
2018-09-21,140.410004,142.100006,140.020004,140.050003,140.050003,36
2018-09-24,139.029999,140.080002,136.690002,139.339996,139.339996,102
2018-09-25,140.389999,140.389999,137.070007,139.699997,139.699997,91
2018-09-26,139.830002,142.440002,139.830002,142.440002,142.440002,25
2018-09-27,142.330002,145.899994,142.130005,145.899994,145.899994,0
2018-09-28,144.559998,145.429993,142.830002,142.830002,142.830002,0
2018-10-01,140.509995,141.740005,140.139999,140.600006,140.600006,68
2018-10-02,139.899994,140.279999,138.179993,138.240005,138.240005,0
2018-10-04,140.649994,140.720001,138.559998,138.559998,138.559998,0
2018-10-05,137.800003,138.929993,136.419998,136.419998,136.419998,17
2018-10-08,136.229996,137.589996,136.119995,136.380005,136.380005,25
